User Activity Logs
2025-08-29 00:07:48.811191: USER: ugo || STATUS: FAILED LOGIN OUTSIDE WORK HOURS
2025-08-29 00:08:43.778353: USER: ugo || STATUS: SUCCESSFUL LOGIN
2025-08-29 00:09:28.480425: USER: ugo || ACTION: added New User: -> fave
2025-08-29 00:22:30.037757: USER: ugo || STATUS: SUCCESSFUL LOGIN
2025-08-29 00:22:56.164416: USER: ugo || ACTION: added New User: -> fave
2025-08-29 00:24:19.832278: USER: fave || STATUS: SUCCESSFUL LOGIN
2025-08-29 00:24:24.265304: USER: fave || STATUS: LOGGED OUT
2025-08-29 00:24:31.869559: USER: ugo || STATUS: ⚠ FAILED LOGIN
2025-08-29 00:24:40.315273: USER: ugo || STATUS: ⚠ FAILED LOGIN
2025-08-29 00:41:50.277582: USER: ugo || STATUS: SUCCESSFUL LOGIN
2025-08-29 00:41:53.995247: USER: ugo || STATUS: LOGGED OUT
2025-08-29 00:42:01.690444: USER: fave || STATUS: SUCCESSFUL LOGIN
2025-08-29 00:42:06.426574: USER: fave || STATUS: LOGGED OUT
2025-08-29 02:53:00.126432: USER: ugo || STATUS: ⚠ FAILED LOGIN - INVALID 2FA
2025-08-29 02:53:01.129048: USER: ugo || STATUS: ⚠ FAILED LOGIN
2025-08-29 02:53:24.825584: USER: ugo || STATUS: ⚠ FAILED LOGIN - INVALID 2FA
2025-08-29 02:53:25.828242: USER: ugo || STATUS: ⚠ FAILED LOGIN
2025-08-29 02:53:31.608172: USER:  || STATUS: ⚠ FAILED LOGIN
2025-08-29 02:53:47.246733: USER: ugo || STATUS: ⚠ FAILED LOGIN - INVALID 2FA
2025-08-29 02:53:48.250578: USER: ugo || STATUS: ⚠ FAILED LOGIN
2025-08-29 02:59:59.137537: USER: ugo || STATUS: ⚠ FAILED LOGIN - INVALID 2FA
2025-08-29 03:00:00.140688: USER: ugo || STATUS: ⚠ FAILED LOGIN
2025-08-29 03:00:45.713922: USER: ugo || STATUS: ⚠ FAILED LOGIN - INVALID 2FA
2025-08-29 03:00:46.716443: USER: ugo || STATUS: ⚠ FAILED LOGIN
2025-08-29 03:01:27.970082: USER: ugo || STATUS: ⚠ FAILED LOGIN - INVALID 2FA
2025-08-29 03:01:28.972706: USER: ugo || STATUS: ⚠ FAILED LOGIN
2025-08-29 03:01:49.810785: USER: ugo || STATUS: ⚠ FAILED LOGIN - INVALID 2FA
2025-08-29 03:01:50.813641: USER: ugo || STATUS: ⚠ FAILED LOGIN
2025-08-29 03:03:08.667121: USER: ugo || STATUS: ⚠ FAILED LOGIN - INVALID 2FA
2025-08-29 03:03:09.670280: USER: ugo || STATUS: ⚠ FAILED LOGIN
2025-08-29 03:06:27.613107: USER: ugo || STATUS: ⚠ FAILED LOGIN - INVALID 2FA
2025-08-29 03:06:28.618330: USER: ugo || STATUS: ⚠ FAILED LOGIN
2025-08-29 03:17:55.502348: USER: ugo || STATUS: ⚠ FAILED LOGIN
2025-08-29 03:18:28.691125: USER: ugo || STATUS: ⚠ FAILED LOGIN
2025-08-29 03:19:01.235006: USER: ugo || STATUS: ⚠ FAILED LOGIN
2025-08-29 03:20:16.425703: USER: ugo || STATUS: SUCCESSFUL LOGIN
2025-08-29 03:20:54.173422: USER: ugo || STATUS: SUCCESSFUL LOGIN
2025-08-29 03:43:37.989502: USER: ugo || STATUS: SUCCESSFUL LOGIN
2025-08-29 03:44:16.791942: USER: ugo || ACTION: added New User: -> ugobest
2025-08-29 03:45:09.396742: USER: ugo || STATUS: LOGGED OUT
2025-08-29 03:45:23.955489: USER: ugobest || STATUS: ⚠ FAILED LOGIN
2025-08-29 03:52:23.303178: USER: ugo || STATUS: ⚠ FAILED LOGIN
2025-08-29 03:53:29.249307: USER: ugo || STATUS: SUCCESSFUL LOGIN
2025-08-29 03:53:38.849048: USER: ugobest || STATUS: LOGGED OUT
2025-08-29 03:53:50.472083: USER: ugobest || STATUS: SUCCESSFUL LOGIN
2025-08-29 03:54:43.479502: USER: ugobest || ACTION: added New User: -> fave
2025-08-29 03:57:46.474975: USER: ugobest || STATUS: ⚠ FAILED LOGIN - INVALID 2FA
2025-08-29 03:57:47.477216: USER: ugobest || STATUS: SUCCESSFUL LOGIN
2025-08-29 03:58:32.933469: USER: ugobest || STATUS: SUCCESSFUL LOGIN
2025-08-29 03:58:45.753394: USER: ugo || STATUS: LOGGED OUT
2025-08-29 03:58:56.241475: USER: ugobest || STATUS: SUCCESSFUL LOGIN
2025-08-29 04:00:25.949211: USER: ugobest || STATUS: ⚠ FAILED LOGIN
2025-08-29 04:00:35.709462: USER: fave || STATUS: ⚠ FAILED LOGIN
2025-08-29 04:01:38.624200: USER: ugo || STATUS: ⚠ FAILED LOGIN - INVALID 2FA
2025-08-29 04:01:39.626726: USER: ugo || STATUS: ⚠ FAILED LOGIN
2025-08-29 04:01:51.946665: USER: ugobest || STATUS: ⚠ FAILED LOGIN
